,Region,Average_R2
171,2_120546207_122545330,-0.7087986422097444
172,2_123974673_125083344,-0.8914368502862887
173,2_126616187_127276771,-0.6515715865699887
174,2_127276771_128716867,-0.6999251678399874
175,2_132285211_134401007,-4.94721395228221
176,2_134401007_136285224,-0.6099789059044027
177,2_136285224_137940547,-0.850514480277998
178,2_137940547_139342701,-0.4486866119327108
179,2_139342701_141047782,-7.5780618256011625
180,2_141047782_141761033,-7.5780618256011625
181,2_143761915_145688002,-1.4965123737926285
182,2_146519594_149353778,-1.510149740052512
183,2_149353778_150874948,-1.1689568504281715
184,2_150874948_151630268,-0.14287771275084485
185,2_151630268_153148542,-0.5916557727247589
186,2_153148542_154534623,-3.0776085336840775
187,2_154534623_156704123,-2.4380212045519483
188,2_156704123_157676706,-0.17937450467065488
189,2_157676706_158720570,-0.6302097186597768
190,2_158720570_160913222,-2.301152832576588
191,2_160913222_162647041,-145.18506152920358
192,2_162647041_163610128,-0.8167113294526448
193,2_163610128_164322330,-0.09109176952751966
194,2_164322330_166303760,-2.3341427709346507
195,2_166303760_166499460,-0.15402830072889478
196,2_166499460_169111726,-25.097865339151998
197,2_169111726_170369735,-4.7170474461813034
198,2_170369735_172274177,-3.403190753022545
199,2_172274177_174724201,-41.001112303501216
200,2_174724201_176498908,-2.0154678788207208
201,2_176498908_177688455,-0.6372423097418639
202,2_177688455_180448012,-65.19211184235644
203,2_180448012_181401304,-0.03749810847023065
204,2_181401304_183492880,-0.6428573819011122
205,2_189017339_191108631,-2.8194503752277678
206,2_191108631_194996440,-0.8564037093624233
207,2_194996440_195582732,-0.06785313440747806
208,2_195582732_197213386,-1.4307026076327403
209,2_197213386_198446401,-0.9250888106007153
210,2_198446401_200711561,-4.1505294289070624
211,2_200711561_201953914,-0.8071084214395434
212,2_204934518_205870980,-1.0569392737084513
213,2_205870980_207780675,-2.759804837470255
214,2_207780675_209076805,-0.8092786018355957
215,2_211514793_213149558,-4.645939997469379
216,2_213149558_214709071,-0.9082466206086387
217,2_214709071_216850938,-6.937337284647117
218,2_216850938_217530757,-0.1882348753860592
219,2_217530757_219589829,-3.7797791621770442
220,2_219589829_221656456,-37.1535870604877
221,2_221656456_223994702,-3.7393520697068787
222,2_223994702_224975287,-0.5329457326164363
223,2_224975287_227255126,-70.87283027150926
224,2_227255126_228506071,-3.8613897752156108
225,2_228506071_230978674,-18.83982125904277
226,2_230978674_232685293,-4.612726596410818
227,2_232685293_234242343,-3.128051788827637
228,2_234242343_235134906,-0.7029988218548271
